"Kod obce";"Nazev obce";"Volici v seznamu";"Vydane obalky";"Platne hlasy";"ANO 2011";"Blok proti islam.-Obran.domova";"CESTA ODPOVĚDNÉ SPOLEČNOSTI";"Dobrá volba 2016";"Dělnic.str.sociální spravedl.";"Komunistická str.Čech a Moravy";"Křesť.demokr.unie-Čs.str.lid.";"Občanská demokratická aliance";"Občanská demokratická strana";"REALISTÉ";"ROZUMNÍ-stop migraci,diktát.EU";"Radostné Česko";"Referendum o Evropské unii";"SPORTOVCI";"SPR-Republ.str.Čsl. M.Sládka";"STAROSTOVÉ A NEZÁVISLÍ";"Strana Práv Občanů";"Strana svobodných občanů";"Strana zelených";"Svob.a př.dem.-T.Okamura (SPD)";"TOP 09";"Unie H.A.V.E.L.";"Česká pirátská strana";"Česká str.sociálně demokrat.";"Česká strana národně sociální";"Řád národa - Vlastenecká unie"
"565423";"Bdín";"51";"34";"34";"15";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"4";"1";"0";"3";"7";"0";"0"
"541672";"Branov";"170";"120";"119";"40";"0";"0";"0";"0";"23";"5";"0";"10";"1";"1";"0";"0";"0";"0";"0";"1";"1";"0";"7";"2";"0";"13";"14";"0";"1"
"565041";"Břežany";"106";"71";"69";"20";"0";"0";"0";"0";"12";"0";"0";"6";"0";"1";"1";"0";"2";"0";"4";"1";"1";"0";"6";"2";"0";"9";"4";"0";"0"
"541699";"Čistá";"724";"388";"387";"114";"0";"0";"0";"0";"67";"18";"0";"42";"0";"7";"0";"0";"1";"0";"26";"3";"3";"5";"29";"9";"0";"30";"33";"0";"0"
"565181";"Děkov";"160";"63";"63";"10";"0";"0";"0";"0";"14";"2";"1";"7";"0";"0";"0";"0";"1";"0";"5";"0";"0";"2";"6";"3";"0";"3";"7";"0";"2"
"529711";"Drahouš";"64";"41";"41";"17";"1";"0";"0";"0";"7";"1";"0";"2";"0";"0";"0";"0";"0";"0";"8";"0";"0";"0";"2";"0";"0";"2";"1";"0";"0"
"541729";"Hořesedly";"331";"183";"183";"63";"0";"0";"0";"0";"40";"2";"0";"10";"0";"1";"0";"0";"0";"1";"9";"3";"5";"4";"22";"2";"0";"7";"14";"0";"0"
"541737";"Hořovičky";"385";"170";"168";"77";"0";"0";"0";"0";"20";"1";"1";"9";"1";"3";"0";"3";"2";"1";"2";"0";"0";"0";"16";"3";"0";"7";"20";"0";"2"
"565202";"Hracholusky";"66";"49";"49";"12";"0";"0";"0";"0";"5";"1";"0";"5";"0";"0";"0";"0";"0";"0";"4";"0";"0";"2";"5";"2";"0";"11";"2";"0";"0"
"541761";"Hřebečníky";"220";"153";"152";"55";"0";"0";"0";"0";"30";"1";"0";"18";"1";"1";"1";"1";"0";"0";"12";"0";"2";"2";"9";"6";"0";"6";"6";"1";"0"
"541770";"Hředle";"464";"276";"275";"98";"0";"0";"0";"1";"45";"3";"0";"25";"2";"1";"0";"0";"2";"1";"17";"0";"1";"4";"25";"5";"0";"19";"26";"0";"0"
"565334";"Hvozd";"133";"77";"75";"26";"0";"0";"0";"0";"21";"1";"0";"1";"1";"0";"0";"0";"1";"0";"4";"0";"1";"0";"4";"5";"0";"5";"5";"0";"0"
